Nom;Pharmacien;contacts;localisation
Pharmacie  Bel Air;Dr Doukoure Marie Dominique;+225 23 45 42 76;carrefour gfci
Pharmacie  Bel Horizon;Dr  Coulibaly Fatoumata;+225 22 52 24 19;bd latrille angre nord - 50 m petro ivoire – latrille pres de  western union
Pharmacie  Belle Cite;Dr  Anougble Mariette;+225 44 29 29 69;abobo quartier bc- terminus des woros woros
Pharmacie  Belle Epine;Dr Kouame Jean Claude Sylvain Konan;+225 22 43 41 87 / +225 09 77 30 30;riviera 1 rue des jardins - carrefour avant la petite mosquee de la riviera
Pharmacie  Belle Fontaine;Dr Attoh Ange;+225 23 52 17 90 / +225 23 52 18 65;yopougon sicogi prolongement patisserie du marche
Pharmacie  Belleville;Dr Bah Dieneba;+225 21 25 09 32;habitat belleville - sicogi craone arras iii av.  27
Pharmacie  Bel’Fam (Grande);Dr Ouattara Auguste;+225 20 33 03 30;avenue & residence crosson duplessis apres la d.e.c.o - a droite avant telecel plateau
Pharmacie  Beniabie;Dr Ackah Beniabie;+225 21 28 95 25;bd du caire terminus bus 13  26 - 33
Pharmacie  Bethel;Dr Gnadou Louba;+225 21 27 98 12;quartier selmer route de vridi
Pharmacie  Bethel;Dr Aka Essoi Jacques;+225 22 43 22 83;riviera attoban face groupe scolaire jules ferry
Pharmacie  Beyniouah;Dr Djaya Khyssy B. Florentine;+225 23 46 01 02;yopougon niangon sud - carrefour du marche - bus n° 39 & 27
Pharmacie  Boissy;Dr Blesso Desrosiers Anne Kethlaine;+225 23 45 65 59;yopougon toit rouge - face commissariat du 19eme arrdt. - bus 44 - 37- 38
Pharmacie  Bon Pasteur;Dr  Akobe Catherine;+225 22 47 04 05 / +225 22 47 03 91 / +225 08 39 40;riviera iii carreffour lycee français face eglise bon pasteur pres du college l’ardoise
Pharmacie  Bonoumin;Dr Konan Yao Jacques;+225 0793 68 50 / +225  22 49 49 34;cocody riviera bonoumin - voie menant du college  andre malrhaux  a l’eglise la destinee (nouveau goudron)
Pharmacie  Camp Militaire;Dr N'Gotta Konan Jeannot;+225 23 51 65 10 / +225 09 37 88 18;yopougon camp militaire petit toit rouge  apres college st francois  en venant de la cnps yopougon
Pharmacie  Canaan;Dr Bobi Serge Eric;+225 21 25 96 76;zone 4 c -  36 rue paul langevin - a  500 m de mercedes
Pharmacie  Carrefour Anador;Dr Adjaffi Ndoua Jean Noel;+225 24 48 02 39 / 03 26;abobo - rond point carrefour anador - route des rails
Pharmacie  Carrefour Boby;Dr Adhout Claver Alain;+225 23 52 16 39 / +225 57 14 58 85;niangon - face base cie - entre stations petro-ivoire et shell
Pharmacie  Carrefour Diallo;Dr  Djiro Gafaranga Clementine;+225 40 30 24 31 / +225 01 29 26 18;abobo pk 18 - ndotre «  derriere pont » au carrefour diallo
Pharmacie  Carrefour Ghandi;Dr Camanand Ferdinand;+225 23 52 74 43 / +225 40 95 40 69;yopougon quartier koweit- carrefour gandhi pres groupe scolaire gandhi
Pharmacie  Carrefour Koweit;Dr Koffi  Ette Georges;+225 23 45 84 07;toit rouge - route abobodoume - carrefour koweit - face groupe scolaire petit soleil - ligne bus 42 1 37
Pharmacie  Carrefour Sante;Dr  Ndri Angele Epse Kouassi;+225 59 59 30 17;bingerville akouai santai face station corelay au carrefour du lycee des jeunes filles mamie faitai
Pharmacie  Catleyas;Dr  Sery Fatoumata;+225 22 47 07 79;bd mitterrand – carrefour abata
Pharmacie  Centrale;Dr Ollo Roger;+225 20 21 47 05 / +225 20 22 01 71;av. franchet d'esperey immeuble "bp"
Pharmacie  Cephas;Dr  Comoe Elise;+225 59 06 45 70 / +225  07 69 48 67;route abata - apres sicta quartier oribat
Pharmacie  Chardy;Dr Bamba Monique;+225 20 21 66 01;avenue chardy- pres station shell - cinema le paris - entre lynx optique & cinema le paris
Pharmacie  Che N’Tale;Dr Ossey Kopoin Justin;+225 23 52 62 03 / +225 04 75 20 69;ananeraie - a 200 m du college guchanrolain - bordure de routevoie menant au carrefour sorbonne non loin de la clinique ste jane leora
Pharmacie  Cheminot;Dr Da Leonce Bruno;+225 21 24 09 45;avenue 21 rue 9 - pres du carrefour france amerique
Pharmacie  Chenain;Dr Brindou Amafou Maria;+225 23 50 13 78 / +225 58 49 96 75;yopougon jerusalem - route abobodoume - 200 m de l’hotel gran-maxime
Pharmacie  Chicaya;Dr Chicaya Evelyne;+225 20 21 33 40;nour al hayat
Pharmacie  Chigata;Dr Coulibaly  Salimata;+225 23 52 93 58;toit rouge route d’abobodoume - 200 m des sapeurs pompiers -ligne bus 42
Pharmacie  Christ Roi;Dr Yapi Kouadio Isidore;+225 23 53 78 76;toit rouge - 60 m du carrefour jean paul ii
Pharmacie  Christ Stella;Dr Kouakou Yao G.;+225 20 37 90 85;cite fairmond  attecoube apre nouvelle gendarmerie
Pharmacie  Cite Maroc;Dr Hamza Mohamed;+225 23 51 87 58 / +225 05 87 79 94;quartier maroc pres du college anador
Pharmacie  Climbie;Dr  Obbin Waleme Elisabeth;+225 21 36 35 46 / +225 57 88 58 21;angle bd du caire & rue raoul follereau - face a la grande mosquee
Pharmacie  Comoe;Dr  Wolber Edwige;+225 22 44 28 81;cite des arts - face radio frequence vie
Pharmacie  Cyrille;Dr Polneau N'Guessantie;+225 21 25 95 28;angle bd de marseille - bd giscard d'estaing - ancien koumassi - bietry  bus n° 06 -12 - 24 -2 9 – 53
Pharmacie  D'Abobo Sante;Dr Homawoo Kouame Charles;+225 49 21 83 12 / +225 24 39 13 84;derriere le centre de sante (pmi & maternite)
Pharmacie  D'Abobodoume;Dr Akre Beugre Théodore;+225 23 45 63 00;face nouveau lycee municipal d'attecoube - pres de la formation sanitaire dr faitaiabobodoume - carrefour des gbakas
Pharmacie  D'Abobote;Dr Ake Amafin Nicodeme;+225 24 39 69 87;route du zoo -  carrefour menuiserie pres de la clinique centrale d'abobo
Pharmacie  D'Agban;Dr  Seri-Gnoleba Fawzillatou;+225 20 37 22 30 / +225 20 37 21 67;a l'entree de la cite fairmont
Pharmacie  D'Andokoi;Dr Diarra Arounan;+225 23 50 95 02 / +225 01 47 51 83;yopougon andokoi 1er pont a droiteentre centre ivoire couture et collège moderne (ex ceg)
Pharmacie  D'Arras;Dr Tchimou Koutouan;+225 21 24 13 29 / 21 93;gare routiere pour grand bassam
Pharmacie  De Bietry;Dr Adoumel Agnero Thomas;+225 21 24 86 89 / +225 24 86 56;bd de marseille (avant wafou) -centre commercial holliday - immeuble sgbci
Pharmacie  De Blockhauss;Dr  Inchaud Anongba Edwige;+225 22 48 68 91;terminus sotra - 200 m de l’hotel ivoire
Pharmacie  De Cocody;Dr  Marega Maimouna;+225 22 44 24 95;centre commercial petit marche score - face allocodrome
Pharmacie  De Gesco;Dr Coulibaly Konate Fanda;+225 23 46 99 57 / 58;quartier gesco - en face du marche
Pharmacie  De Koumassi (Soumah);Dr Keita Jean;+225 21 36 19 85;bd du 7 decembre - pres de la formation sanitaire de koumassi
Pharmacie  De L'Amitie;Dr Nuan-Aliman Elisabeth;+225 59 92 28 75;marcory grand marche - bd du cameroun - bus n° 05
Pharmacie  De L'Avenue 21;Dr Tano Assa;+225 21 24 83 46;carrefour avenue 21 rue 21 pres de la bibliothèque islamique bus 05 et 03
Pharmacie  De L'Entente;Dr Arkurst Bernadette;+225 21 25 26 95;angle avenue 21 rue 44
Pharmacie  De L'Etoile;Dr  Manouan A. Yolande;+225 02 44 06 88 /  +225 07 79 06 48;3eme rond point autoroute abobo gare pres de la gendarmerie
Pharmacie  De L'I.N.J.S;Dr Abong Ehounoud;+225 21 28 10 10 / +225 21 28 10 11;marcory gfci face i.n.j.s  (institut national de la jeunesse et des sports) - bus 03 & 31
Pharmacie  De L'Indenie;Dr  N'Zi Pillah Niali Jacqueline;+225 20 21 17 90;av. toussaint louverture - sgbci indenie- face cite policiere - apres les tours administratives
Pharmacie  De L'Ocean;Dr Aka Aouele;+225 21 27 78 48 / 79 43;angle av. pacifique & rue des espadons - prolongement de la boulangerie boe  et  du ceg de port bouet
Pharmacie  De La Bagoe;Dr  Diawara Kone Faty;+225 21 28 64 14;koumassi remblais - bd du cameroun - carrefour station mobilet sodeci marcory - face centre medical liring
Pharmacie  De La Baltique;Dr Loukou Nguessan Rosine;+225 21 27 66 71;face a l'abattoir
Pharmacie  De La Caserne;Dr Anoma Joel;+225 21 25 45 83;treichville entree quartier douanes par bd valery giscard d’estaing -face marche de portables
Pharmacie  De La Cite;Dr  Egnankou Juliette;+225 24 39 03 33;quartier sogefiha n'tanoua face ptt - abidjan 1
Pharmacie  De La Cite;Dr N'Djore Ali Henri;+225 23 45 87 32 -32 42;toit rouge- face sapeurs pompiers
Pharmacie  De La Cite Cocody;Dr Assamoi Tetchi Claude;+225 22 44 63 67 / 63 68;cocody danga face cite rouge a la gare « woro woro » de marcory
Pharmacie  De La Corniche;Dr  Daboiko Kouatelay;+225 22 48 58 68 / +225 02 36 / +225 05 84 20 80;bd corniche face siege nestle
Pharmacie  De La Galerie;Dr Kacou Aime Arsene;+225 21 35 24 73;bd. giscard d'estaing angle rue thomas edison (super hayat)
Pharmacie  De La Mairie;Dr  Ajami Malack & Dr  El Amine Farhat;+225 20 39 99 99;face mairie d’adjame
Pharmacie  De La Mairie;Dr N’Guessan Euphrasie;+225 23 52 43 06 / +225 05 63 36 43;quartier selmer - 200 de la mairie- face maquis tantie margot - ligne bus 30
Pharmacie  De La Mairie Abobo;Dr Eby Ehounoud;+225 24 39 32 48;carrefour centre culturel - avant nouvelle mairie - sur route du zoo
Pharmacie  De La Me (Nouvelle);Dr N'Douffou Joel Don;+225 41 29 52 78 / +225 07 91 19 99;abobo gare entre la mairie et la gendarmerie voix express d’anyama
Pharmacie  De La Mosquee;Dr  Kouassi Alice Anne;+225 20 37 17 70;bd. william jacob derriere les rails de la grande mosquee
Pharmacie  De La Paix;Dr Douzoua Lucien;+225 21 26 30 19 / +225 08 01 83 38;bd de loraine - face a la sib marcory et station texaco
Pharmacie  De La Piete;Bamba Josephine;+225 57 49 38 67 / +225  09 09 18 67;face a la pmi - cocody val doyen - cocody sud
Pharmacie  De La Plaque Ii;Dr  Coulibaly Berthe Epse Sanoh;+225 24 48 09 90;abobo plaque ii - non loin carrefour  du plaque ii
Pharmacie  De La Providence (Ex Phcie Delorvie);Dr Bedi Mel Samuel;+225 20 37 55 81 / +225 07 08 45 12;petit marche des 220 lgts - face edipresse - ligne bus n° 14  00 09 75 86 12 83
Pharmacie  De La Riviera;Dr  Kouamelan Christine;+225 22 43 28 44;carrefour riviera ii
Pharmacie  De La Vie;Dr Anogonou Sonia;+225 21 28 18 68;marcory residentiel boulevard achalme immeuble teranga
Pharmacie  De La Zone 3;Dr Aubry Keita Pascale;+225 21 35 13 15 / 09 76;centre commercial opera (carrefour patisserie abidjanaise - honda)
Pharmacie  De Locodjoro;Dr Kouadio N'Guessan Jacques;+225 23 45 36 83;apres le marche en allant vers abobodoume
Pharmacie  De L’Antenne;Dr Yekpe Marie Nicole Epse Mel;+225 23 50 15 27;yopougon lem 2 - face citelco et maison des jeunes
Pharmacie  De L’Avenue Nogues;Dr Diabate Ibrahima;+225 20 31 16 10;2, avenue nogues abidjan-plateau (pres du super marche le moins-cher du plateau)
Pharmacie  De L’Espoir;Dr Amani Andre;+225 20 39 08 31 / +225 07 88 65 75;adjame 220 lgts rue passant devant edipresse et imst face cite de lenfance croixrouge 200 m marche gouro derrire la maternite therese houphouet boigny
Pharmacie  De L’Horeb;Dr Tape Ahou Therese Antoinette;+225 23 51 88 89 - 07 45 24 14 - 40 29 97 81 / +225 03 71 78 40;yopougon sideci  lem 1er lavage
Pharmacie  De Port Bouet Ii Sarl;Dr Edoua K. Jacqueline;+225 23 46 60 53 / +225 01 51 67 56;route niangon nord - face mosquée al bilal - bus n° 39
Pharmacie  De Port-Bouet;Dr Gbaka Tchetche Nana Boukary;+225 21 27 89 17;pres du centre pilote des jeunes de port bouet
Pharmacie  De Prodomo;Dr  Oyourou G. Sophie;+225 21 28 83 43;bd cameroun koumassi prodomo - carrefour sopim prodomoapres terrain inch'allah
Pharmacie  De Sopim;Dr Ngossan Ehouman. David;225 21 36 69 32;koumassi sopim
Pharmacie  De Williamsville;Dr Kehiri Joseph;+22520 37 03 45;place du marche
Pharmacie  Des 220 Logements (Nlle);Dr  Kone Safiatou Epse Agnini Bile;+225 20 37 58 26;avenue general de gaulle - face station texaco
Pharmacie  Des 3 Mosquées;Dr Sylla Aichatou;+225 21 24 21 96;dans l’avenue 8 rue 22 baree a 300 m de la station shell immeuble nanan yamoussou rue 38
Pharmacie  Des 3 Ponts;Dr Coulibaly B.  Aminata;+225 23 45 43 70 - 03 11 49 26 / +225 02 03 15 14;yopougon sogefiha route de niangon pres centre sante (pmi & maternité)
Pharmacie  Des Agouas;Dr Druid Idibouo;+22520 37 / 10 59;face boulangerie bbco
Pharmacie  Des Allees;Dr  Ahnoux Ehkong Dr C.;+225 22 42 14 58;angre  bd latrille- 200 m apres petro-ivoire - carrefour cafeiers  2 stars 6 - non loin des etablissements cousteau
Pharmacie  Des Arts;Dr  Colomb Andree;+225 22 44 42 35 / 95 67;centre commercial de la cite des arts
Pharmacie  Des Banques (Nlle);Dr Amichia Paul-Innocent;+225 20 32 94 12 / +225 20 32 19 58;plateau rue des banques - carrefour bad – biao – sgbci - caisse d’epargne
Pharmacie  Des Brasseurs;Dr Saraka K. Adolphe;+225 21 25 31 51 / 17 25;face au chu de treichville - entre station bp et imprimerie abidjan continu - i rue des brasseurs
Pharmacie  Des Deux Plateaux;Dr  Piot Wlindet Aline;+225 22 41 36 04;bd latrille - centre commercial sicogi - pres de la sgbci
Pharmacie  Des Entreprises;Dr Assamoi Alfred;+225 21 27 17 32;vridi zone industrielle - face ancien toyota-premoto sur voie principale  250 m environ du tripostal
Pharmacie  Des Finances;Dr Angoua Tanoe Emma;+225 20 21 70 61;immeuble sitarail - cite financiere - de la cathedrale  descendre la rue principale du palais de justice
Pharmacie  Des Gares;Dr Kire Kouadio Noel;+225 20 37 26 24;bd nangui abrogoua - entre la ran et citelcom
Pharmacie  Des Graces;Dr  Kouablan Marguerite;+22522 41 24 27;ii plateaux adjame extension sur la route ii plateaux – williamsville
Pharmacie  Des Halles;Dr  Kie Danielle;+225 22 41 92 94;centre commercial sococe
Pharmacie  Des Hibiscus;Dr Adou Marie Louise;+225 21 26 31 66;bd de brazzaville - pres de la pmi
Pharmacie  Des Jardins;Dr  Konan Marie Jeanne;+225 22 41 17 70;ii plateaux rue des jardins - pres du super marche hayat - bus 35
Pharmacie  Des Lagunes;Dr Ajami Akil Tarek;+225 21 26 12 40 / 63 80;rue de la paix face agip & super marche trade center face comptoir lorrain d’afrique
Pharmacie  Des Laureades;Dr  Badia Patricia;+225 22 42 48 10 / +225 05 79 14 03 / +225 08 19 80 86;angre - route d’attoban (rue l 155) vers la djibi - face terrain sport d’angre ou par bdlatrille  feux tricolores -commissariat d’angre tourner a droite - tout droit a 400 m
Pharmacie  Des Quais;Dr Kouame Yao Justin;+225 21 24 04 94;treichville zone portuaire - grand moulin
Pharmacie  Des Sables;Dr Eddy Brown;+225 21 28 84 17;koumassi remblais - voie principale pres de la cite batim sir
Pharmacie  Des Studios;Dr Diplo Ignace;+225 20 21 95 95;ancien hotel du parc - 43, bd de la republique
Pharmacie  Des Tours;Dr Dirabou Placide;+225 20 21 91 28 / +225 20 21 93 02;av. jean paul ii - pres cathedrale st. paul - entrees bd angoulvant  et bd. roume - immeuble cic. wtc.  cite administrative
Pharmacie  Divin Amour;Dr Beda Yapi Lambert Guy;+225 22 41 93 38;ii plateaux bd latrille carrefour macaci pres de l’eglise du plein evangile
Pharmacie  Divine Esperance;Dr  Apata Boglo Pelagie;+225 24 39 78 92 - 96;abobo sagbe entre paroisse st joseph epoux et commissariat du 21eme arrondissement
Pharmacie  Divine Grace;Dr Codo Agbo Blandine;+225 23 46 79 17;entree port-bouet ii - chu yopougon
Pharmacie  Divine Onction;Dr Aka Assemien Noel;+225 22 41 62 84;ii plateaux rue j 92 - a 500 m de sococe vers le 12eme arrondissement
Pharmacie  Djigui;Dr Traore Abdourahamane;+225 21 27 75 86;face au grand marche - 30 m du commissariat - angle avenue atlantique et av. pacifique
Pharmacie  Du Banco;Dr Kone Dramane;+225 58 17 61 26 / +225 07 97 36 92 / +225 20 37 03 12;face service social
Pharmacie  Du Bd Carde;Dr Brou René;+225 20 21 01 08;face cercle des rails
Pharmacie  Du Bd De Marseille;Dr Adioumani Rachel;+225 21 25 76 25;bd marseille station shell face lonaci zone 3
Pharmacie  Du Bd Du Gabon;Dr  N'Dri Koffi Valerie;+225 21 36 24 62;200 m de la clinique "la madone" face pressing akwaba bus 32  26  23  12
Pharmacie  Du Bd Giscard D'Estaing;Dr Kouadio Anne Faustin;+225 21 24 37 00;carrefour score de koumassi - station texaco
Pharmacie  Du Bien Etre;Dr   Codo Keita Eliette;+225 22 50 80 80 / +225 22 50 11 11;angre sur la voie principale de la 8eme tranche - entrée de soleil 3
Pharmacie  Du Bonheur;Dr Diby Joseph;+22522 47 02 88;riviera palmeraie-marche - rue i 127 menant a sci les rosiers (rue marie rose guiraud edec)700m de la barriere de police route de bingerville
Pharmacie  Du Canal;Dr Oulai S. Urbain;+225 21 36 27 48;koumassi remblais - entre le gd carrefour gabi (feu tricolore) et carrefour millenium 80 m du maquis « le tapis rouge»ou a droite du groupe scolaire la rochelle-en provenance de la station mobil
Pharmacie  Du Carrefour;Dr Assahi Grah;+225 21 35 11 66 / 29 70;angle bd giscard d'estaing rue chevalier du clieu - zone 4a - face bicici marcory
Pharmacie  Du Cénacle;Dr Brou Arsène;+225 23 52 23 23  / +225 09 76 67 67 / +225 02 56 55 80 / +225 06 19 15 44;yopougon zone chu - 3eme pont - a 100 m de la cite policiere en construction  face station petro ivoire
Pharmacie  Du Centre;Dr Ouattara Y. Marius;+225 47 85 90 09 / +225 40 27 54 76 / +225 65 02 61 52;abobo avocatier voie express anyama pres de l’hotel du centre et de l’eglise universelle du royaume de dieu
Pharmacie  Du Chateau;Dr Diakite Ibrahim;+225 23 55 93 99 / 63 28;
Pharmacie  Du Chateau D'Eau;M'Bahia Lika;+225 20 37 11 68;bd william jacob - adjame nord- en descendant les rails vers la sodeci
Pharmacie  Du Commerce (Grande);Dr Mangoua Gerard;+225 20 22 31 31 / +225 20 32 12 12;immeuble l'ebrien - 24 av. general de gaulle
Pharmacie  Du Dokui (Gde);Dr Mohamed Doumbia;+225 24 39 10 30;au dessus du zoo face station total - face cie plateau dokui
Pharmacie  Du Forum;Dr Boguifo Charles;+225 20 38 13 64 / +225 20 38 13 86;a l’interieur du forum des marches d’adjame
Pharmacie  Du Gd Marche De Marcory;Dr Gouepo Évariste;+225 21 56 90 96;bd cameroun - face nouveau marche de marcory a l’angle du bd cameroun et rue f133
Pharmacie  Du Golf;Dr  Amichia Victoire;+225 22 43 14 31;centre commercial sicogi riviera face aux caddies
Pharmacie  Du Grand Marche;Dr Diplo Wanda;+225 21 24 00 72;angle rue 13- avenue 8 place de l'ancien marche
Pharmacie  Du Jubile;Dr Lorougon Paul Arnaud;+225 01 05 26 10 / +225 06 37 09 42;yopougon route de dabou face marche bagnon
Pharmacie  Du Lavage;Dr Ehounou Kadjo Nazer;+225 23 50 25 40;yopougon sicogi - pres du carrefour lavage
Pharmacie  Du Levant;Dr Kouame Mockey Irène;+225 21 24 14 21;angle rue 12 bd giscard d'estaing
Pharmacie  Du Longchamp;Dr Pitte Beugre;+225 20 22 75 98 / +225 43 62 / 23 73;av. marchand entre externat st. paul et hotel ibis-plateau
Pharmacie  Du Lycee Technique;Dr Diawara Ibrahima;+225 22 44 60 77;route du lycee technique pres de la clinique du goci
Pharmacie  Du Marais;Dr Kouassi Michel Seraphin;+225 21 36 06 99 - 05 65;port bouet ii - progres 1ere rue a gauche apres la mosquee etle marche adou assale en allant vers prodomo - bd du cameroun
Pharmacie  Du Marche;Dr Ake Ako Constant;+225 23 45 24 70 / +225 09 84 34 91 / +225 01 07 48 10;pres du marche de la sicogi i - carrefour sicogi i – sogefiha
Pharmacie  Du Marche;Dr Koblan Huberson;+225 20 37 33 12;rue des agouas - face au gd marche d'adjame
Pharmacie  Du Marche;Dr Konan Kouame;+225 22 40 34 64;
Pharmacie  Du Marche Gouro;Dr Nda Jean Emmanuel;+225 20 38 83 83;adjame marche gouro- a cote de la banque atlantique
Pharmacie  Du Memorial;Dr Kouassi Kouassi;+225 20 32 36 90;residence signal - avenue 16 lamblin entre palais presidentiel  et ecole pratique chambre de commerce et d’industrie
Pharmacie  Du Monastere;Dr Kouame Christophe;+225 24 39 67 01 / +225  07 20 11 61;route d'abobo baoule - a 500 m carrefour sans manquer
Pharmacie  Du Palais De Justice;Dr Adam Diadhiou Atsepo;+225 20 21 95 66;55, bd clozel - face palais de justice - pres de la recette municipale
Pharmacie  Du Palais Des Sports;Dr Jean Pierre - Dr Folquet Thierry;+225 21 24 09 83 / +225 21 02 14 - 22;bd de marseille
Pharmacie  Du Palm Club;Dr  Tanoe Dominique;+225 22 44 20 90;rue du lycee technique - 18 logements bus n° 82
Pharmacie  Du Petit Marche;Dr Bitty Marie Noelle;+225 21 26 24 33;rue de l'eglise ste therese en allant vers  la pmi de marcory a 50 m du maquis "le vatican" bus n° 32
Pharmacie  Du Plateau;Dr N'Dia Gisèle;+225 20 22 79 70;immeuble botreau roussel- face immeuble pyramide et la bceao
Pharmacie  Du Plaza;Dr Kouakou Jacques;+225 21 24 03 39 - 13 33;avenue 1 - immeuble treich-center - face a la gare des bateaux-bus sotra  de trechville
Pharmacie  Du Port;Dr Adoux Marthe;+225 21 25 21 29 / +225 01 07 48 12;bd de vridi - marche aux poissons et sotra
Pharmacie  Du Progres;Dr  Kacou Elisabeth;+225 20 37 15 25;face eglise st kizito
